,Unnamed: 0,PID,średnia_na_rozgrywce,średnia_na_obronie,Kokosy_na_Obronie,częściówka,końcówka,szlemik,Wpadka,PID,liczba_rozdan_na_rozgrywce,liczba_rozdan_na_obronie,liczba_rozdan_Kokosy_na_Obronie,liczba_rozdan_częściówka,liczba_rozdan_końcówka,liczba_rozdan_szlemik,liczba_rozdan_Wpadka
114,114,2141,52.516,48.17769230769231,72.99312499999999,52.00111111111111,42.38173913043478,55.620000000000005,32.10384615384616,02141,45,39,16,27,23,5,13
115,115,2156,50.651875,46.450967741935486,65.9452380952381,52.74823529411765,46.50090909090909,35.138,24.86705882352941,02156,48,62,21,34,33,5,17
116,116,2188,54.90357142857143,39.974230769230765,58.481,40.42133333333333,59.715,15.47,29.516,02188,28,26,10,15,18,1,10
117,117,2196,43.75857142857143,41.6075,64.35885714285715,45.53657142857143,42.5693023255814,38.985,23.85291666666667,02196,133,112,35,70,86,6,48
118,118,2197,51.52176795580111,49.469456521739126,70.91132352941177,50.28416666666666,51.085440000000006,47.80357142857143,27.800645161290323,02197,181,184,68,96,125,14,62
119,119,2200,45.96817073170732,53.89093333333334,67.20266666666666,53.41925,53.96565217391304,49.72571428571428,24.348823529411764,02200,82,75,30,40,46,7,34
120,120,2202,48.05317241379311,43.86507575757575,72.54073170731708,49.67611111111111,46.04536082474226,41.4125,22.612727272727277,02202,145,132,41,72,97,12,55
121,121,2214,52.50037037037037,47.69375,69.47714285714285,52.13214285714286,53.61388888888889,26.295,32.833,02214,27,24,7,14,18,2,10
122,122,2229,49.031612903225806,51.291935483870965,72.71990291262135,52.72543307086615,49.49572368421053,54.79105263157894,22.416631578947367,02229,248,248,103,127,152,19,95
123,123,2234,52.50037037037037,47.69375,69.47714285714285,52.13214285714286,53.61388888888889,26.295,32.833,02234,27,24,7,14,18,2,10
124,124,2243,42.25407079646018,43.53772727272727,72.7341935483871,40.93985714285714,45.9125,31.785,25.012600000000003,02243,113,110,31,70,64,8,50
125,125,2295,48.83315789473684,45.23604651162791,66.15125,47.06,42.65307692307693,52.24333333333334,27.28909090909091,02295,38,43,16,25,26,3,11
126,126,2320,49.19186991869919,45.02556451612903,68.34,44.48109589041096,48.835647058823525,51.16375,27.64404761904762,02320,123,124,39,73,85,8,42
127,127,2337,37.35421052631579,46.038585858585854,69.22620689655172,42.15276923076923,43.55065217391304,21.89,25.74755555555556,02337,95,99,29,65,46,9,45
128,128,2377,46.30947368421052,44.116603773584906,72.92444444444445,41.27371428571429,48.0658064516129,41.205,25.715454545454545,02377,57,53,18,35,31,4,22
129,129,2384,48.63525641025641,45.29950819672131,72.8805,43.78428571428572,52.0164,41.075,25.69607142857143,02384,78,61,20,35,50,6,28
130,130,2413,48.69253731343284,46.376304347826085,71.8175,43.852758620689656,54.51641025641025,41.07,26.80875,02413,67,46,16,29,39,5,24
131,131,2422,44.30826086956522,37.84275862068966,66.33285714285714,44.709375,38.406666666666666,28.55,20.936666666666667,02422,23,29,7,16,18,2,9
132,132,2433,45.4675,52.60277777777778,75.89428571428572,36.322500000000005,54.01625,47.56,21.358,02433,8,18,7,4,8,2,5
133,133,2439,48.28636363636363,41.99733333333334,77.1325,43.45333333333334,43.15272727272728,41.1,19.02,02439,11,15,4,6,11,1,4
134,134,2445,48.86240506329114,47.26204819277108,71.8393103448276,46.89857142857143,43.967200000000005,51.38428571428572,31.23925925925926,02445,79,83,29,49,50,7,27
135,135,2479,45.1282,43.134561403508776,61.92095238095238,45.608620689655176,47.83285714285714,39.66,22.383043478260863,02479,50,57,21,29,28,6,23
136,136,2514,35.80767441860465,45.64470588235295,76.51666666666667,47.79294117647059,36.009047619047614,56.875,25.735000000000003,02514,43,34,9,17,21,2,28
137,137,2552,53.35833333333333,39.04407407407408,69.31,41.77,50.879090909090905,2.54,28.340000000000003,02552,30,27,8,18,22,1,8
138,138,2618,44.755,44.33978260869565,61.239285714285714,43.357,44.65684210526316,47.46833333333333,27.650769230769228,02618,36,46,14,30,19,6,13
139,139,2806,60.26027777777777,51.4785,66.88111111111111,60.881875,63.67555555555556,95.58,31.763333333333332,02806,36,20,9,16,18,1,12
140,140,2850,49.84647058823529,50.12837121212121,68.65433823529412,35.08117647058823,32.93533333333333,19.502222222222223,25.89125,02850,17,264,136,68,60,9,8
141,141,2940,54.37984126984127,53.418301886792456,73.4259090909091,58.56594594594595,46.859,77.434,30.99318181818182,02940,63,53,22,37,30,5,22
142,142,3021,46.2962,56.54421875,76.03208333333333,56.10777777777778,46.38730769230769,35.715999999999994,30.623478260869568,03021,50,64,24,36,26,5,23
143,143,3030,51.09985714285714,47.051567164179104,69.39734693877551,52.84181818181818,51.45571428571428,33.015454545454546,24.606603773584908,03030,140,134,49,77,84,11,53
144,144,3036,49.32730769230769,49.49555555555555,74.80521739130435,49.86322580645161,40.50034482758621,57.615,29.81736842105263,03036,52,54,23,31,29,4,19
145,145,3144,47.553125,47.87942028985507,69.59724137931035,45.71666666666667,40.51103448275862,43.4325,32.305,03144,48,69,29,33,29,4,22
146,146,3262,54.93000000000001,63.17,80.33285714285714,59.2175,57.53,33.2,41.81666666666667,03262,12,14,7,4,8,1,6
147,147,3309,49.09323529411765,46.08726495726496,65.0170731707317,42.34272727272728,51.406666666666666,51.71888888888889,29.21864864864865,03309,102,117,41,66,66,9,37
148,148,3311,49.09323529411765,46.08726495726496,65.0170731707317,42.34272727272728,51.406666666666666,51.71888888888889,29.21864864864865,03311,102,117,41,66,66,9,37
149,149,3314,49.930277777777775,49.78568181818182,71.14,55.9024,40.37913043478261,84.0,22.866153846153846,03314,36,44,18,25,23,1,13
150,150,3333,42.85026315789474,42.82468085106383,72.33533333333334,41.75,41.75185185185185,17.677500000000002,24.86125,03333,38,47,15,23,27,4,16
151,151,3375,50.876326530612246,49.74765625,71.49592592592592,50.1696,45.83266666666667,49.60833333333333,32.7812,03375,49,64,27,25,30,6,25
152,152,3428,51.02307692307693,50.803953488372095,68.6055,48.27952380952381,52.8468,34.85666666666667,27.903846153846157,03428,39,43,20,21,25,3,13
153,153,3435,36.902,53.21642857142857,68.74888888888889,51.44199999999999,42.34666666666667,79.57,19.63636363636364,03435,15,14,9,5,3,1,11
154,154,3461,48.5825,44.676829268292686,61.84277777777778,40.95423076923077,46.77227272727273,80.63499999999999,31.293076923076924,03461,40,41,18,26,22,2,13
155,155,3526,56.61869565217391,63.22266666666667,71.29714285714286,59.69733333333333,66.3625,61.7,20.015,03526,23,30,14,15,16,2,6
156,156,3577,36.902,53.21642857142857,68.74888888888889,51.44199999999999,42.34666666666667,79.57,19.63636363636364,03577,15,14,9,5,3,1,11
157,157,3615,52.17014925373135,46.558169014084505,63.65413793103448,54.2490625,47.47673913043478,48.325,31.18,03615,67,71,29,32,46,4,27
158,158,3636,52.61986725663717,52.80970212765958,74.65869047619047,53.29737179487179,50.03887218045113,56.59294117647059,29.56901408450704,03636,226,235,84,156,133,17,71
159,159,3656,47.2763671875,52.38631578947368,69.20010869565218,49.97517006802721,51.352826086956526,42.24384615384615,28.70436170212766,03656,256,228,92,147,138,13,94
160,160,3670,52.67506493506494,48.11305882352941,66.85896551724139,49.40543859649123,50.2715,64.815,35.0140625,03670,77,85,29,57,40,4,32
161,161,3715,44.48645161290322,35.89809523809524,70.05714285714285,54.14538461538461,36.940625,46.71,20.05933333333333,03715,31,21,7,13,16,1,15
162,162,3731,45.71722222222223,45.38402298850575,80.21263157894737,45.86777777777778,47.0769014084507,66.87285714285714,24.41818181818182,03731,108,87,19,54,71,7,44
163,163,3739,46.76529411764706,61.51800000000001,72.45,51.85111111111111,77.675,97.79,21.59875,03739,17,10,5,9,4,1,8
164,164,3743,46.46831168831169,50.45166666666667,64.16862068965517,51.41026315789473,53.91975,42.79333333333333,24.491515151515152,03743,77,66,29,38,40,3,33
165,165,3744,52.14972602739726,53.09808823529412,75.52866666666667,50.26684210526316,56.05386363636364,17.73,27.77076923076923,03744,73,68,30,38,44,3,26
166,166,3751,44.10218085106383,45.67860169491525,65.50527472527472,47.50419642857143,39.70704545454545,51.138125,23.703698630136987,03751,188,236,91,112,132,16,73
