,0,1,2,3,4,5,6,7,8
29,79.,04212,Mirosław Cichocki,WM,19,AM,51 590,E,ŁĄCZNOŚĆ Olsztyn
30,80.,04699,Krzysztof Sikorski,PM,19,AM,48 833,1,GTB ANDRZEJKI Gdańsk
31,81.,04527,Krzysztof Antas,PM,19,AM,46 342,-,
32,82.,02934,Krzysztof Kujawa,SL,19,AM,46 060,E,TB Silesia I Gliwice
33,83.,06895,Artur Rutkowski,MA,19,AM,44 523,1,Taka sobie drużyna brydżowa WZBS
34,84.,08117,Grażyna Brewiak,PM,19,AM,43 008,3,GTB Expres z Kaszub
35,85.,05520,Marek Wójcicki,SL,19,AM,38 401,E,TB Silesia I Gliwice
36,86.,04684,Józef Pochroń,PM,19,AM,37 839,-,
37,87.,07603,Tomasz Pilch,SL,19,AM,37 774,E,TB Silesia I Gliwice
38,88.,04405,Krzysztof Pikus,WM,19,AM,32 151,E,ŁĄCZNOŚĆ Olsztyn
39,89.,05423,Jeremi Stępiński,OP,19,AM,25 422,E,SYNIS VALUE MEDIA OPOLE
40,90.,01502,Mirosław Miłaszewski,DS,19,AM,24 238,E,BRIDGESCANNER KS AZS Wratislavia I WR
41,91.,05329,Jacek Poletyło,SW,19,AM,21 320,-,
42,92.,09138,Danuta Kazmucha,MA,19,AM,19 557,1,Bridge24.pl 2.
43,93.,05446,Marek Szukała,WP,19,AM,19 543,2,UNIA II Leszno
44,94.,07044,Piotr Żak,LD,19,AM,18 984,1,Inwit Pabianice
45,95.,05248,Andrzej Milde,WP,19,AM,18 316,-,
46,96.,01223,Cathy Bałdysz,DS,19,AM,17 367,E,Objectivity KS AZS Wratislavia III WR
47,97.,06554,Jarosław Cieślak,DS,19,AM,17 328,E,GOLDBECK COMFORT SA AZS Wratislavia IV
48,98.,10085,Justyna Żmuda,PM,19,AM,16 587,E,Szkoła Brydża Szlem Gdańsk
49,99.,03027,Włodzimierz Stobiecki,SW,19,AM,14 523,-,Świętokrzyski Klub Brydżowy w Kielcach
50,100.,07818,Viktor Markowicz,MA,19,AM,13 977,-,Singleton Warszawa
0,lokata,PID,imię i nazwisko,WZBS,WK,TK,PKL,liga,klub / drużyna
1,101.,09280,Janusz Nowak,MA,19,AM,12 875,-,
2,102.,06717,Jolanta Krogulska,MA,19,AM,11 810,-,Singleton Warszawa
3,103.,09012,Bolesław Ostrowski,PM,19,AM,10 747,-,
4,104.,19120,David Bakhshi,WP,19,AM,10 649,-,
5,105.,08703,Aleksander Łabędzki,SL,19,AM,8 172,-,
6,106.,19121,Artur Malinowski,WM,19,AM,7 232,E,VITAS ESBS Elblag
7,107.,02151,Cezary Szadkowski,LB,19,AM,6 290,-,
8,108.,13491,Marek Kudła,WP,19,AM,6 026,-,
9,109.,18256,Krzysztof Moszczyński,MA,19,AM,5 687,-,Singleton Warszawa
10,110.,12450,Katarzyna Dufrat,PM,19,AM,5 058,E,Szkoła Brydża Szlem Gdańsk
11,111.,01305,Grzegorz Gardynik,MA,19,AM,4 519,-,
12,112.,16315,Łukasz Lebioda,MP,19,AM,3 094,2,TS Wisła Kraków
13,113.,00554,Krzysztof Gwis,WM,19,AM,2 780,-,
14,114.,06645,Krzysztof Jędrzejowski,MA,19,AM,2 683,-,
15,115.,12637,Shawn Quinn,MP,19,AM,1 636,-,
16,116.,07183,Tadeusz Ralko,OP,19,AM,1 556,-,
17,117.,12145,Joanna Raczyńska-Neve-Żochowska,MA,19,AM,1 548,-,
18,118.,16693,Tom Townsend,MA,19,AM,874,-,
19,119.,18812,Julian Frydrich,WP,19,AM,473,-,
20,120.,00533,Adam Dudziński,PM,19,AM,380,-,
21,121.,00537,Jerzy Elżanowski,MA,19,AM,0,-,
22,,00544,Zbigniew Furdzik,MP,19,AM,0,-,
23,,00562,Antoni Jaworski,MA,19,AM,0,-,
24,,00569,Marek Kasprzak,MA,19,AM,0,-,
25,,00578,Zbigniew Krogulski,MA,19,AM,0,-,
26,,00609,Henryk Niedźwiecki,MA,19,AM,0,-,
27,,00650,Lesław Stadnicki,MA,19,AM,0,-,
28,,00656,Zbigniew Szurig,MA,19,AM,0,-,
29,,00661,Krzysztof Wągrodzki,MA,19,AM,0,-,
30,,00680,Adam Zimnielski,MP,19,AM,0,-,
31,131.,01138,Marek Pietraszek,PK,18,AM,52 490,1,Elektromontaż Joker Rzeszów
32,132.,04588,Sławomir Henclik,PM,18,AM,50 358,1,GTB ANDRZEJKI Gdańsk
33,133.,06543,Jan Chodorowski,MA,18,AM,44 041,1,Mokotów Warszawa
34,134.,02013,Andrzej Jeleniewski,WP,18,AM,44 024,1,UKB KLEKS Szamotuły
35,135.,06542,Irena Chodorowska,MA,18,AM,42 588,1,Mokotów Warszawa
36,136.,06800,Sylwester Młynarczuk,MA,18,AM,39 495,1,Autostrada Eksploatacja & 2S Media
37,137.,02904,Janusz Gawęcki,SW,18,AM,38 529,E,Dr SMILE Starachowice
38,138.,05464,Witold Turant,LD,18,AM,38 450,1,Inwit Pabianice
39,139.,06528,Włodzimierz Buze,MA,18,AM,34 990,-,
40,140.,04531,Marek Barylewski,MA,18,AM,34 960,1,ESKOM Warszawa
41,141.,04242,Andrzej Fronczak,PM,18,AM,34 070,1,GTB ANDRZEJKI Gdańsk
42,142.,04602,Aleksander Kasprzak,PM,18,AM,32 643,E,GTB SDK Tczew
43,143.,05691,Grzegorz Lewaciak,LD,18,AM,32 535,1,Inwit Pabianice
44,144.,03345,Zbigniew Mącior,SL,18,AM,32 534,1,TB Silesia II Gliwice
45,145.,03960,Radosław Szczepański,MA,18,AM,32 511,1,ESKOM Warszawa
46,146.,03266,Stefan Kowalczyk,SL,18,AM,32 357,-,
47,147.,01128,Roman Opaliński,PK,18,AM,32 127,1,Elektromontaż Joker Rzeszów
48,148.,06954,Adam Suwik,MA,18,AM,30 955,1,ESKOM Warszawa
49,149.,04430,Jan Rogowski,WM,18,AM,30 821,-,Zorro22 Olsztyn
50,150.,05732,Paweł Niedzielski,WP,18,AM,28 244,1,STARKA Poznań
